2005062303	2005062509	60	55	3
ID	流量	黄龙带	联星	枫木塱
1	23.07	0	1	0
2	23.06	0	0	4
3	23.05	2	4	13
4	69.17	26	17	40
5	125.26	84	48	51
6	255.25	35	21	18
7	184.09	8	0	8
8	109.44	2	3	3
9	117.06	10	15	10
10	209.81	12	9	13
11	127.16	9	8	22
12	127.18	11	7	5
13	103.56	8	2	2
14	91.13	2	1	3
15	68.83	0	0	0
16	68.835	0	0	0
17	68.83	0	0	0
18	56.64	0	0	0
19	50.75	0	0	0
20	56.665	0	0	0
21	56.705	0	0	0
22	55.105	0	0	0
23	56.39	0	0	0
24	44.06	0	0	0
25	59.645	0	0	0
26	56.57	0	0	0
27	47.19	0	0	0
28	50.315	0	0	0
29	44.07	0	0	0
30	54.89	0	0	0
31	39.265	0	0	0
32	39.19	0	0	1
33	43.465	0	0	0
34	35.375	0	0	0
35	62.5	24	18	30
36	106.805	18	10	13
37	81.525	1	1	0
38	71.31	0	0	0
39	52.56	0	0	0
40	52.43	0	0	0
41	46.175	0	0	0
42	35.805	0	0	0
43	44.185	0	0	0
44	44.2	0	0	0
45	34.805	0	0	1
46	36.055	0	0	0
47	25.7	0	0	0
48	27.925	0	1	0
49	34.12	0	0	0
50	24.74	0	0	0
51	28.9	0	0	0
52	27.595	0	0	0
53	35.07	0	0	0
54	27.39	1	1	0
55	40.09	0	0	1
